"","HC_148","HC_025","HC_061","HC_128","HC_064","HC_066","HC_069","HC_105","HC_108","HC_109","HC_110","HC_111","HC_063","HC_130","HC_131","HC_132","HC_020","HC_178","HC_176","HC_027"
"PCDH9",577.121949991487,692.33271216916,607.203456770107,661.547204765024,595.024049127414,1071.02027772301,885.056580542136,610.329250134211,650.898477870682,1067.17941539321,884.382259998359,596.08859045765,751.441271999621,651.238206312042,634.640890535735,721.836924250601,319.990944622504,654.386308675418,443.096001591872,676.88825948218
"C14orf93",5.4225604033425,5.81792195100134,2.45870016304285,4.76356806020122,2.48312379441769,3.86314962825367,3.95636952833166,4.0230781995097,4.33134586915837,4.4101094599229,4.52767966090149,3.5806513655526,5.12966445664229,3.43859464399755,2.12880152344778,3.65240743411966,2.91169694403075,3.33488771636406,6.11348240457593,5.43717226402385
"RIPK3",0.646092303376979,0.30301676828132,1.45612339753023,0.892053943857907,0.367326005091374,0.607307365140314,1.22591731863798,0.597175670239721,0.707846406632885,1.00610862203564,1.17602069114324,0.470046897408449,1.18236946695656,0.770719489171866,0.473067005210618,0.956962646494234,0.887157662634368,0.976064697472407,1.9720910982503,1.11124688607787
"PSMA6",7.15316478738798,6.18154207293892,10.1212511566036,7.52893528616074,6.78818457408858,8.33360662164765,6.70539624285318,8.0933018466699,7.43238726964529,8.65253414950653,7.80583733746328,8.40554451836285,8.56763106056213,7.72695692990255,7.67658731182685,8.19798000496727,5.77789862331101,7.3530207209588,6.24495514445929,8.81060031104594
"CDKL1",22.3594086418676,24.6352632612713,24.8018395087527,16.8598195389144,12.7535588967725,19.0458337567615,13.577963029157,17.6166822720718,14.4097304207409,13.4986240123116,17.4786075221165,14.9862010820811,18.0447770957062,19.939896527549,13.116857871749,12.6000081788408,16.4692858396739,18.7892454263438,12.9829330634812,19.5658826727281
"ATL1",46.4263469426601,38.11950944979,87.295791225706,70.2046453816173,113.841675497918,87.1148675995718,105.633208955972,101.802736626656,131.490896774994,123.214769245298,68.7825101732405,119.156888493042,111.288252289849,71.0445272710989,129.082783285425,118.535773145752,42.993025189204,90.3022522611555,27.8064844853293,54.8876586944889
"BMF",3.87655382026187,1.63629054871913,3.93869443594243,3.05082448799404,1.4986901007728,1.80505244638927,0.891576231736711,1.54008462324981,1.44939978501019,1.45885750195168,7.40893035420244,1.17511724352112,2.49207103035459,1.304294520137,1.46220710701464,1.73848214113119,6.57406575644442,1.75691645545033,6.47503243925516,3.37342804702209
"PCLAF",0.207672526085458,0.242413414625056,0.310321379801525,0.107046473262949,0.161623442240204,0.151826841285079,0.352915591729115,0.157151492168348,0.117974401105481,0.167684770339274,0.161702845032196,0.041474726241922,0.181902994916393,0.335954649126198,0.0430060913827835,0.127595019532565,0.159233426626681,0.0813387247893673,0.295813664737545,0.377030193490705
"PARP16",8.44534939414194,10.3934751520493,5.22772170588723,8.84917512307044,6.20046296594238,9.48074275580157,5.92526704008356,6.06604759769821,4.16281101043625,5.14792244941571,8.246845096642,5.21199059773486,8.33115716717082,7.98386342629317,5.63379797114463,4.91240825200374,6.18735600606534,5.95399465458168,6.73797791902186,7.73904081375657
"CORO2B",108.335834441247,88.9051198137392,111.333762722639,111.132080325818,131.693719345359,104.558084698324,161.67249002159,154.495631950702,160.664280819793,130.106613306243,96.6395002946961,154.714553791116,130.842824243362,103.197363396294,154.004813241748,156.160354530417,126.840798124339,113.67900176562,79.8039531091955,132.000255110535
